date,value
2014-11-28,6.03873096855
2014-11-29,6.05105465312
2014-11-30,6.04632857952
2014-12-01,6.01045056627
2014-12-02,6.01740769485
2014-12-03,6.00592180065
2014-12-04,6.01611080006
2014-12-05,6.05479251446
2014-12-06,6.04408080936
2014-12-07,6.04376698754
2014-12-08,6.01145852053
2014-12-09,5.98988502263
2014-12-10,6.02405088651
2014-12-11,6.02483846464
2014-12-12,6.06982152441
2014-12-13,6.00941367077
2014-12-14,6.04890577942
2014-12-15,6.02014015324
2014-12-16,5.99791497686
2014-12-17,6.02332499074
2014-12-18,6.03124616343
2014-12-19,6.07479589101
2014-12-20,6.06385856665
2014-12-21,6.03043864415
2014-12-22,6.0225061904
2014-12-23,6.08455029722
2014-12-24,6.28605143768
2014-12-25,6.32251025142
2014-12-26,6.03205608777
2014-12-27,6.00146418656
2014-12-28,5.98874606318
2014-12-29,5.98789818606
2014-12-30,5.98605908093
2014-12-31,6.21130706864
2015-01-01,5.99958225245
2015-01-02,6.00327184242
2015-01-03,6.00005006746
2015-01-04,5.98651248082
2015-01-05,5.9784314219
2015-01-06,5.99659549539
2015-01-07,5.96404784405
2015-01-08,5.96920756343
2015-01-09,5.992911929
2015-01-10,6.00225284069
2015-01-11,5.99582717048
2015-01-12,5.98429496159
2015-01-13,5.98735759847
2015-01-14,5.97838955228
2015-01-15,5.99476951589
2015-01-16,6.03169876088
2015-01-17,6.02467385555
2015-01-18,6.01626509108
2015-01-19,5.96518432944
2015-01-20,5.98662873723
2015-01-21,6.00713843426
2015-01-22,6.0091567022
2015-01-23,6.02435648407
2015-01-24,6.03861513271
2015-01-25,6.01470890955
2015-01-26,6.0056922976
2015-01-27,5.98900774153
2015-01-28,5.96963886132
2015-01-29,5.98348422722
2015-01-30,6.0314321801
2015-01-31,6.04165023803
2015-02-01,6.03035270018
2015-02-02,5.97839424144
2015-02-03,6.00677454047
2015-02-04,6.01692390675
2015-02-05,6.0192655509
2015-02-06,6.04462799348
2015-02-07,6.03775245786
2015-02-08,6.01793263243
2015-02-09,6.00129534487
2015-02-10,5.9958959409
2015-02-11,6.00181269925
2015-02-12,6.02593465343
2015-02-14,6.09506969394
2015-02-15,6.03727600172
2015-02-16,5.99082158513
2015-02-17,6.00748581033
2015-02-18,5.99837295977
2015-02-19,5.92810690898
2015-02-20,6.01958095799
2015-02-21,6.03499868677
2015-02-22,6.01222481293
2015-02-23,5.98507087826
